iter	Passed	Remaining
0	1	168
1	3	169
2	4	158
3	6	145
4	7	143
5	8	140
6	10	138
7	11	129
8	12	121
9	12	115
10	13	109
11	14	105
12	15	101
13	15	97
14	16	94
15	17	91
16	18	88
17	18	85
18	19	83
19	20	81
20	21	79
21	21	77
22	22	75
23	23	73
24	24	72
25	24	70
26	25	69
27	26	67
28	27	66
29	27	64
30	28	63
31	29	62
32	30	61
33	30	59
34	31	58
35	32	57
36	33	56
37	33	55
38	34	54
39	35	53
40	36	52
41	36	50
42	37	49
43	38	48
44	38	47
45	39	46
46	40	45
47	40	44
48	41	43
49	42	42
50	43	41
51	43	40
52	44	39
53	45	38
54	46	37
55	46	36
56	47	35
57	48	35
58	49	34
59	49	33
60	50	32
61	51	31
62	52	30
63	52	29
64	53	28
65	54	28
66	55	27
67	55	26
68	56	25
69	57	24
70	58	23
71	59	23
72	60	22
73	60	21
74	61	20
75	62	19
76	63	18
77	63	18
78	64	17
79	65	16
80	66	15
81	66	14
82	67	13
83	68	13
84	69	12
85	69	11
86	70	10
87	71	9
88	72	8
89	72	8
90	73	7
91	74	6
92	75	5
93	75	4
94	76	4
95	77	3
96	78	2
97	78	1
98	79	0
99	80	0
